source_label,target_label,source,target
"Hotchkiss, Horace L.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",88,193
"Hotchkiss, Horace L.",Subsector 517-Telecommunications,88,212
"Hotchkiss, Horace L.",Subsector 237-Heavy and Civil Engineering Construction,88,217
"Hoyt, Charles Albert",Subsector 326-Plastics and Rubber Products Manufacturing,89,243
"Hoyt, Charles Albert",Subsector 524-Insurance Carriers and Related Activities,89,203
"Humphreys, Dr. Alexander C.",Subsector 611-Educational Services,16,238
"Humphreys, Dr. Alexander C.",Subsector 221-Utilities,16,192
"Humphreys, Dr. Alexander C.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",16,193
"Huntington, Collis P.",Subsector 482-Rail Transportation,90,194
"Huntington, Collis P.",Subsector 336-Transportation Equipment Manufacturing,90,229
"Huntington, Collis P.","Subsector 423-Merchant Wholesalers, Durable Goods",90,244
"Huntington, Collis P.",Subsector 531-Real Estate,90,218
"Huntington, Henry Edwards","Subsector 423-Merchant Wholesalers, Durable Goods",91,244
"Huntington, Henry Edwards",Subsector 482-Rail Transportation,91,194
"Huntington, Henry Edwards",Subsector 485-Transit and Ground Passenger Transportation,91,219
"Huntington, Henry Edwards",Subsector 531-Real Estate,91,218
"Huntington, Henry Edwards",Subsector 221-Utilities,91,192
"Huntington, Henry Edwards",Subsector 336-Transportation Equipment Manufacturing,91,229
"Huntington, Henry Edwards","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",91,195
"Hyde, Clarence M.",Subsector 325-Chemical Manufacturing,92,220
"Hyde, Clarence M.","Subsector 541-Professional, Scientific, and Technical Services",92,216
"Hyde, Henry Baldwin",Subsector 524-Insurance Carriers and Related Activities,93,203
"Hyde, Henry Baldwin","Subsector 424-Merchant Wholesalers, Nondurable Goods",93,201
"Inglis, James Smith",Subsector 453-Miscellaneous Store Retailers,94,214
"Ives, Brayton C.",Subsector 482-Rail Transportation,95,194
"Ives, Brayton C.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",95,193
"Ives, Brayton C.",Subsector 311-Food Manufacturing,95,197
"Ives, Brayton C.",Subsector 531-Real Estate,95,218
"Ives, Brayton C.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",95,207
"Ives, Brayton C.",Subsector 115-Support Activities for Agriculture and Forestry,95,224
"Ives, Brayton C.",Subsector 522-Credit Intermediation and Related Activities,95,199
"Jackson, Edwin E.",Subsector 322-Paper Manufacturing,96,232
"Jackson, Edwin E.",Subsector 531-Real Estate,96,218
"Jackson, Edwin E.","Subsector 541-Professional, Scientific, and Technical Services",96,216
"Jackson, Edwin E.",Subsector 522-Credit Intermediation and Related Activities,96,199
"Jackson, Edwin E.",Subsector 524-Insurance Carriers and Related Activities,96,203
"Jennings, Frederick Beach","Subsector 541-Professional, Scientific, and Technical Services",97,216
"Jennings, Frederick Beach",Subsector 482-Rail Transportation,97,194
"Jennings, Frederick Beach",Subsector 322-Paper Manufacturing,97,232
"Jennings, Frederick Beach",Subsector 522-Credit Intermediation and Related Activities,97,199
"Jennings, Frederick Beach","Subsector 424-Merchant Wholesalers, Nondurable Goods",97,201
"Jennings, Frederick Beach","Subsector 525-Funds, Trusts, and Other Financial Vehicles",97,207
"Jennings, Frederick Beach",Subsector 321-Wood Product Manufacturing,97,205
"Jennings, Walter",Subsector 211-Oil and Gas Extraction,181,222
"Jennings, Walter",Subsector 339-Miscellaneous Manufacturing,181,245
"Jennings, Walter","Subsector 525-Funds, Trusts, and Other Financial Vehicles",181,207
"Jennings, Walter",Subsector 522-Credit Intermediation and Related Activities,181,199
"Jennings, Walter",Subsector 622-Hospitals,181,202
"King, David H., Jr.",Subsector 238-Specialty Trade Contractors,98,230
"King, David H., Jr.","Subsector 712-Museums, Historical Sites, and Similar Institutions",98,233
"King, David H., Jr.",Subsector 493-Warehousing and Storage,98,246
"Kirby, Thomas E.",Subsector 453-Miscellaneous Store Retailers,99,214
"Lambert, Catholina",Subsector 313-Textile Mills,17,221
"Lambert, Catholina","Subsector 525-Funds, Trusts, and Other Financial Vehicles",17,207
"Lambert, Catholina",Subsector 522-Credit Intermediation and Related Activities,17,199
"Lawrence, Cyrus I.",Subsector 522-Credit Intermediation and Related Activities,100,199
"Lawrence, Cyrus I.",Subsector 482-Rail Transportation,100,194
"Lawrence, Cyrus I.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",100,193
"Lawrence, Cyrus I.",Subsector 493-Warehousing and Storage,100,246
"Lawrence, Frank R.","Subsector 541-Professional, Scientific, and Technical Services",18,216
"Lawrence, Frank R.",Subsector 524-Insurance Carriers and Related Activities,18,203
"Lawrence, Frank R.",Subsector 522-Credit Intermediation and Related Activities,18,199
"Lawrence, Frank R.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",18,207
"Layton, Frederick",Subsector 311-Food Manufacturing,101,197
"Lehmaier, Louis A.",Subsector 511-Publishing Industries (except Internet),19,227
"Lehman, Arthur","Subsector 424-Merchant Wholesalers, Nondurable Goods",20,201
"Lehman, Arthur",Subsector 522-Credit Intermediation and Related Activities,20,199
"Lehman, Arthur",Subsector 332-Fabricated Metal Product Manufacturing,20,210
"Lehman, Arthur",Subsector 327-Nonmetallic Mineral Product Manufacturing,20,223
"Lehman, Arthur",Subsector 316-Leather and Allied Product Manufacturing,20,208
"Lehman, Arthur",Subsector 236-Construction of Buildings,20,198
"Lehman, Arthur",Subsector 321-Wood Product Manufacturing,20,205
"Lehman, Arthur","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",20,193
"Lehman, Arthur",Subsector 313-Textile Mills,20,221
"Lehman, Arthur",Subsector 452-General Merchandise Stores,20,231
"Lehman, Arthur",Subsector 311-Food Manufacturing,20,197
"Lehman, Arthur",Subsector 512-Motion Picture and Sound Recording Industries,20,242
"Lehman, Arthur",Subsector 339-Miscellaneous Manufacturing,20,245
"Lehman, Arthur",Subsector 493-Warehousing and Storage,20,246
"Lehman, Arthur",Subsector 221-Utilities,20,192
"Leighton, George E.",Subsector 482-Rail Transportation,102,194
"Leighton, George E.","Subsector 541-Professional, Scientific, and Technical Services",102,216
"Leighton, George E.","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",102,195
"Leighton, George E.",Subsector 522-Credit Intermediation and Related Activities,102,199
"Leighton, George E.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",102,207
"Mansfield, Burton",Subsector 524-Insurance Carriers and Related Activities,21,203
"Mansfield, Burton","Subsector 541-Professional, Scientific, and Technical Services",21,216
"Mansfield, Burton",Subsector 522-Credit Intermediation and Related Activities,21,199
"Mansfield, Burton",Subsector 221-Utilities,21,192
"Mansfield, Burton",Subsector 339-Miscellaneous Manufacturing,21,245
"Mather, Samuel",Subsector 212-Mining (except Oil and Gas),103,200
"Mather, Samuel",Subsector 622-Hospitals,103,202
"Mather, Samuel",Subsector 331-Primary Metal Manufacturing,103,215
"Mather, Samuel",Subsector 522-Credit Intermediation and Related Activities,103,199
"McGarrah, G. W.",Subsector 522-Credit Intermediation and Related Activities,104,199
"McGarrah, G. W.",Subsector 521-Monetary Authorities-Central Bank,104,247
"McGarrah, G. W.",Subsector 482-Rail Transportation,104,194
"McGarrah, G. W.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",104,207
"Mellon, Andrew W.","Subsector 921-Executive, Legislative, and Other General Government Support",105,204
"Mellon, Andrew W.",Subsector 522-Credit Intermediation and Related Activities,105,199
"Mellon, Andrew W.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",105,193
"Mellon, Andrew W.",Subsector 211-Oil and Gas Extraction,105,222
"Mellon, Andrew W.",Subsector 331-Primary Metal Manufacturing,105,215
"Mellon, Andrew W.",Subsector 325-Chemical Manufacturing,105,220
"Mellon, Andrew W.",Subsector 312-Beverage and Tobacco Product Manufacturing,105,237
"Mellon, Andrew W.",Subsector 237-Heavy and Civil Engineering Construction,105,217
"Mellon, Andrew W.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",105,207
"Mellon, Andrew W.",Subsector 336-Transportation Equipment Manufacturing,105,229
"Mellon, Andrew W.",Subsector 212-Mining (except Oil and Gas),105,200
"Mellon, Andrew W.",Subsector 327-Nonmetallic Mineral Product Manufacturing,105,223
"Mellon, Andrew W.",Subsector 332-Fabricated Metal Product Manufacturing,105,210
"Mellon, Andrew W.",Subsector 482-Rail Transportation,105,194
"Merriam, William Rush","Subsector 921-Executive, Legislative, and Other General Government Support",22,204
"Merriam, William Rush",Subsector 522-Credit Intermediation and Related Activities,22,199
"Merriam, William Rush",Subsector 212-Mining (except Oil and Gas),22,200
"Merriam, William Rush",Subsector 334-Computer and Electronic Product Manufacturing,22,248
"Milbank, Jeremiah",Subsector 311-Food Manufacturing,106,197
"Milbank, Jeremiah",Subsector 482-Rail Transportation,106,194
"Milbank, Jeremiah","Subsector 424-Merchant Wholesalers, Nondurable Goods",106,201
"Milliken, Seth Mellen",Subsector 313-Textile Mills,107,221
"Milliken, Seth Mellen",Subsector 611-Educational Services,107,238
"Milliken, Seth Mellen","Subsector 424-Merchant Wholesalers, Nondurable Goods",107,201
"Milliken, Seth Mellen",Subsector 322-Paper Manufacturing,107,232
"Milliken, Seth Mellen",Subsector 332-Fabricated Metal Product Manufacturing,107,210
"Milliken, Seth Mellen",Subsector 522-Credit Intermediation and Related Activities,107,199
"Milliken, Seth Mellen",Subsector 524-Insurance Carriers and Related Activities,107,203
"Milliken, Seth Mellen","Subsector 525-Funds, Trusts, and Other Financial Vehicles",107,207
"Mills, Darius Ogden",Subsector 522-Credit Intermediation and Related Activities,108,199
"Mills, Darius Ogden",Subsector 212-Mining (except Oil and Gas),108,200
"Mills, Darius Ogden",Subsector 482-Rail Transportation,108,194
